"Amb37859122";"NC(=N)c1[n][n](c[n]1)C1OC(CO)C(O)C1O"
"Amb37862291";"NC(=O)c1[n][n](c[n]1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"Amb38138722";"CC(=O)OC1C(COC(C)=O)OC(C1OC(C)=O)[n]1c[n]c([n]1)C(N)=O"
"Amb38139559";"CC1(O)C(OC(CO)C1O)[n]1c[n]c([n]1)C(N)=O"
"Amb38159149";"NC(=O)c1[n][n](c[n]1)C1CC(O)C(CO)O1"
"Amb38160865";"COC(=O)c1[n][n](c[n]1)C1OC(COC(C)=O)C(OC(C)=O)C1OC(C)=O"
"Amb38161893";"NC(=O)c1[n][n](c[n]1)C1OC(COP(O)(O)=O)C(O)C1O"
"Amb38164021";"N[13C](=O)[13c]1[n][n](c[n]1)C1OC(CO)C(O)C1O"
"Amb4490256";"COC(=O)c1ncn(n1)[C@@H]1O[C@@H]([C@H]([C@H]1OC(=O)C)OC(=O)C)COC(=O)C"
"Amb533332";"OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc(n1)C(=O)N"
"Amb8387103";"OC[C@H]1O[C@H](C([C@H]1O)O)n1cnc(n1)C(=O)N"
"Amb8397616";"OC[C@H]1OC([C@H]([C@H]1O)O)n1cn[13c](n1)[13C](=O)N"
"Amb8605676";"OC1C(O)C(OC1n1cnc(n1)C(=O)N)COC(=O)C(C)(C)C"
"Amb9794503";"CC(=O)OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N"
